handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/13150,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Files",ITTDS005,Risposta dal Ministero di Giustizia e dei Culti Sulle di Giustizia antecipate nel relativo all'assassino del Padre Giustino Pacini - İtalyan Adalet Bakanlığı'ndan gönderilen Rahip Giustino Pacini cinayetine ilişkin adli masrafa ilişkin cevap,,,,Open Access,,,,,,,1909-04-06,SALT Research,İtalyanca - Italian,Belge - Document,21-31 cm,1,,,45142,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13150
123456789/13248,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Files",ITTDS003,"Acte protestatif de Giovanni Bancalari contre Michel Sidiratos sur la possesion du magasin situé à Pera, Rue Hamalbachı, No: 19 - Giovanni Bancalari Michel Sidiratos'un aleyhinde Pera'da Hamalbaşı Sokak 19 numarada bulunan mağazanın mülkiyetine dair itiraz aktı.",,,,Open Access,,,,,,,1887-02-23,SALT Research,Fransızca - French,Belge - Document,"20,5-33 cm; Handwritten",2,,,45140,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13248
123456789/13249,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Files",ITTDS004,Verbale del processo del fallimento di Velasti Freres. - Velasti Kardeşler'in iflasına ilişkin zabıt tutanağı.,,,,Open Access,,,,,,,1891-12-18,SALT Research,İtalyanca - Italian,Belge - Document,21-31 cm; Handwritten,3,,,45141,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13249
123456789/13250,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Files",ITTDS006,Le corrispondanze di giacomo Moro col Consolato Generale di Costantinopoli nel riguardoli avvenimenti di Adana contro la Communità Armene 1909-1910. - Giacomo moro'nun İtalyan Elçiliği ile 1909-1910 arasında Adana'da Ermeni Cemaati'ne karşı çıkan olaylara ilişkin konularda yazışmaları.,,,,Open Access,,,,,,,1909-05-11; 1910-09-03,SALT Research,İtalyanca - Italian,Belge - Document,21-27 cm; Handwritten,3,,,45143,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13250
123456789/13251,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Files",ITTDS007,"Verbale di Xantippe Cubini, vedova del fu Francesco Nomini - Francesco Nomini'nin dul eşi Xantippe Cubini'nin tutanağı",,,,Open Access,,,,,,,1911-04-14,SALT Research,İtalyanca - Italian,Belge - Document,"21,5-33 cm; Handwritten",3,,,45144,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13251
123456789/13252,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Files",ITTDS008,Verbale di Annetta Cerlazzo vedova Brissafulli - Brissafulli'nin dul eşi Annetta Cerlazzo'nun tutanağı,,,,Open Access,,,,,,,1914-08-27,SALT Research,İtalyanca - Italian,Belge - Document,"21,5-33 cm; Handwritten",4,,,45145,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13252
123456789/12874,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Inventories",ITTNV001,Inventario delle merci esistenti nella bottega del defunto Carlo Massioli nel Quertiere di Yeni Cami - Müteveffa Carlo Massioli'ye ait Yeni Cami Mahallesi'nde bulunan dükkanda satılan malların envanteri,,,,Open Access,,,,,,,1847-11-30,SALT Research,İtalyanca - Italian,Belge - Document,"21,5-33 cm; Handwritten",4,,,45147,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12874
123456789/13112,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Inventories",ITTNV005,Inventario delle merci esistenti nel magazzino dei Jalliti Velasti Freres in via Dervich di Pera - Pera Caddesi Derviş Sokağı'nda Jalliti Velasti Frères'e ait olan dükkanda satılan malların envanteri,,,,Open Access,,,,Due copie - İki kopya halinde.,,,1891-08-31,SALT Research,Fransızca - French,Dosya - File,"27,5-43 cm; Handwritten",76,,,45151,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13112
123456789/13113,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Inventories",ITTNV006,"Inventar,o della succesione di Alberto Kun contenete gli inventari di negozio in via di Pera e di casa in via di Suterazi - Alberto Kun'a ait pera Caddesi'ndeki mağaza ile Suterazi Sokağı'ndaki eve ait envanter dosyalarını içeren miras envanteri",,,,Open Access,,,,Ha la coperta - Kapak var.,,,1893-03-18; 1893-05-08,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-31,5 cm; Handwritten",134,,,45152,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13113
123456789/13114,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Inventories",ITTNV007,Esame di prova per processo verbale di Chr. Cristoforo contro Haim e Mois Mazza - Haim ve Mois Mazza aleyhinde Chr. Cristoforo'nun açtığı davaya ait ekspertiz dosyası,,,,Open Access,Contiene gli documenti in date differenti - Farklı tarihli belgeler içerir,,,,,,1907-03-20,SALT Research,İtalyanca - Italian; Fransızca - French,Defter - Register,"20,5-30,5 cm; Handwritten",99,,,45153,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13114
123456789/13210,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Inventories",ITTNV002,Inventario degli oggetti esistenti nella bottega d'ottonaro - Pirinç ustasının dükkanındaki gereçlerin envanteri,,,,Open Access,,,,Ha la coperta - Kapak var.,,,1847-12-06,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-33 cm; Handwritten",13,,,45148,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13210
123456789/13211,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Inventories",ITTNV003,Inventario degli oggetti esistenti nella bottega d'ottonaro diretta da Pietro Toranjian - Pietro Toranjian tarafından işletilen dükkandaki gereçlerin envanteri.,,,,Open Access,,,,,,,1848-05-31,SALT Research,İtalyanca - Italian,Belge - Document,"21,5-33 cm; Handwritten",5,,,45149,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13211
123456789/13253,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Inventories",ITTNV004,Cahier de brouillard / Cahier des ventes du jour - Müsvedde defteri / günlük satış defteri,,,,Open Access,,,,Ha la coperta - Kapak var.,,,1856-10-19; 1857-10-18,SALT Research,Fransızca - French; Yunanca - Greek,Defter - Register,"17,5-22 cm; Handwritten",53,,,45150,HILALS,,07.07.2009,,07.07.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13253
123456789/12845,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV001,Verbali d'udienza / Duruşma Tutanakları,,,,Open Access,,,,77 Ordini-77 Kayıt / La data dell'ultimo ordine deve essere 1866 piuttosto che 1867 - Son kaydın tarihi 1867 yerine 1866 olmalı,,,1866-01-05; 1866-12-29,SALT Research,İtalyanca - Italian,Defter - Register,21-32 cm; Handwritten,290,,,45084,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12845
123456789/12846,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV014,Verbali d'assunzione e cessazione di funzioni degli avvocati - Avukatları görevlendirme ve görevden alma tutanakları,,,,Open Access,,,,83 Ordini/ Con l'indice - 83 Kayıt/ İndeks ile.,,,1881-04-13; 1895-01-24,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,101,,,45097,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12846
123456789/12847,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV018,Verbali d'udienza / Duruşma Tutanakları,,,,Open Access,,,,,,,1895-05-15; 1898-07-12,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-30,5 cm; Handwritten",471,,,45101,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12847
123456789/12848,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV020,Verbali d'udienza civili / Özel hukuk duruşma tutanakları,,,,Open Access,,,,,,,1898-09-01; 1898-07-12,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-30,5 cm; Handwritten",214,,,45103,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12848
123456789/12875,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV009,Verbali d'udienza pretorili in materia civili -  Sulh Hakimliği özel hukuk tutanakları,,,,Open Access,C'e un sigillo rosso sulla coperta / Zabıt defterinin  kapağında kırmızı mühür mevcut,,,43 Ordini- 43 Kayıt.,,,1878-01-24; 1878-12-31,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,95,,,45092,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12875
123456789/12876,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV012,Verbali d'udienza pretorili in materia civili -  Sulh Hakimliği özel hukuk tutanakları,,,,Open Access,C'e un sigillo rosso sulla coperta / Zabıt defterinin  kapağında kırmızı mühür mevcut,,,63 Ordini-63 Kayıt.,,,1880-01-05; 1880-12-28,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,181,,,45095,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12876
123456789/12877,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV013,Verbali d'udienza pretorili in materia civili -  Sulh Hakimliği özel hukuk tutanakları,,,,Open Access,C'e un sigillo rosso sulla coperta / Zabıt defterinin  kapağında kırmızı mühür mevcut,,,9 Ordini-9 Kayıt.,,,1880-04-05; 1880-10-21,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,39,,,45096,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12877
123456789/13085,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV002,Verbali d'udienza / Duruşma Tutanakları,,,,Open Access,,,,83 Ordini-83 Kayıt.,,,1867-01-04; 1867-12-28,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-32 cm; Handwritten",215,,,45085,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13085
123456789/13086,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV007,Verbali d'udienza / Duruşma Tutanakları,,,,Open Access,,,,48 Ordini-48 Kayıt/ Mancano le pagine tra 54-59 - 54-59 arası sayfalar eksik / Solo una parte del registro - Defterin yalnız bir kısmı,,,1876-05-05; 1876-12-30,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,34,,,45090,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13086
123456789/13115,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV004,Registro dei Decreti Consolari - Konsolosluk İlam Defteri,,,,Open Access,Registro contiene i verbali di prestazione giuramento - Mahkeme heyetinin yemin tutanaklarını içerir,,,,,,1874-01-03; 1913-01-04,SALT Research,İtalyanca - Italian,Defter - Register,"24,5-38 cm; Handwritten",191,,,45087,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13115
123456789/13116,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV005,Verbali d'udienza / Duruşma Tutanakları,,,,Open Access,,,,93 Ordini-94 Kayıt.,,,1875-01-05; 1875-12-30,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,330,,,45088,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13116
123456789/13117,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV011,Verbali d'udienza pretorili in materia civili -  Sulh Hakimliği özel hukuk tutanakları,,,,Open Access,C'e un sigillo rosso sulla coperta / Zabıt defterinin  kapağında kırmızı mühür mevcut,,,5 Ordini-5 Kayıt.,,,1879-08-20; 1879-08-30,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,19,,,45094,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13117
123456789/13118,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV024,Verbali d'udienza civili e commerciali / Özel ve Ticari hukuk duruşma tutanakları,,,,Open Access,,,,,,,1909-03-11; 1914-08-20,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-30,5 cm; Handwritten",574,,,45107,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13118
123456789/13151,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV006,Verbali d'udienza in Materia Penale / Ceza Hukuku Duruşma Tutanakları,,,,Open Access,,,,19 Ordini-19 Kayıt.,,,1876-01-29; 1876-10-07,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,74,,,45089,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13151
123456789/13152,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV015,Processi verbali delle udienze del tribunale conosolare - Konsolosluk Mahkemesi duruşma zabıt tutanakları,,,,Open Access,"Registro contiene sezione civile, penale, pretorile degli anni 1891, 1892,1893 - Defter 1891,1892,1893 yıllarına ait özel hukuk, ceza hukuku, sulh hakimliği tutanaklarını içerir.",,,,,,1891-01-08; 1893-12-14,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-34,5 cm; Handwritten",238,,,45098,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13152
123456789/13153,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV017,Verbali d'udienza / Duruşma Tutanakları,,,,Open Access,,,,,,,1894-02-01; 1896-12-18,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,535,,,45100,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13153
123456789/13154,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV023,Verbali d'udienza civili e commerciali / Özel ve Ticari hukuk duruşma tutanakları,,,,Open Access,,,,,,,1908-01-16; 1909-03-04,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-30,5 cm; Handwritten",138,,,45106,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13154
123456789/13212,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV003,Verbali d'udienza / Duruşma Tutanakları,,,,Open Access,C'e un sigillo rosso sulla coperta / Zabıt defterinin  kapağında kırmızı mühür mevcut,,,76 Ordini-76 Kayıt.,,,1869-01-04; 1871-12-23,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,189,,,45086,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13212
123456789/13213,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV019,Verbali d'udienza penali / Ceza hukuku duruşma tutanakları,,,,Open Access,,,,,,,1898-07-18; 1900-01-15,SALT Research,İtalyanca - Italian,Defter - Register,Handwritten,180,,,45102,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13213
123456789/13214,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV021,Verbali d'udienza civili / Özel hukuk duruşma tutanakları,,,,Open Access,,,,Registro ha la coperta / Tra gli ordini di 1895 ci sono quelli di 1896 - Defterin kapağı var / 1895 kayıtlarının arasında 1896 yılına ait olanlar var.,,,1899-12-28; 1901-12-28,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-30,5 cm; Handwritten",260,,,45104,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13214
123456789/13215,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV022,Verbali d'udienza / Duruşma Tutanakları,,,,Open Access,,,,,,,1903-04-22; 1907-12-26,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-30,5 cm; Handwritten",379,,,45105,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13215
123456789/13216,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV025,Verbali d'udienza civili e commerciali / Özel ve Ticari hukuk duruşma tutanakları,,,,Open Access,,,,,,,1914-09-03; 1924-08-04,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-30,5 cm; Handwritten",535,,,45108,UMITS,,04.03.2009,,04.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13216
123456789/13254,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV008,"Verbal, d'udienza pretorlini in materia civili - Sulh Hakimliği özel hukuk tutanakları",,,,Open Access,C'e un sigillo rosso sulla coperta / Zabıt defterinin  kapağında kırmızı mühür mevcut,,,73 Ordini- 73 Kayıt.,,,1877-01-02; 1877-12-31,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,127,,,45091,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13254
123456789/13255,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV010,Verbali d'udienza pretorili in materia civili -  Sulh Hakimliği özel hukuk tutanakları,,,,Open Access,C'e un sigillo rosso sulla coperta / Zabıt defterinin  kapağında kırmızı mühür mevcut,,,10 Ordini-10 Kayıt.,,,1878-08-24; 1878-11-25,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,42,,,45093,UMITS,,02.03.2009,,02.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13255
123456789/13256,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Minutes",ITTPV016,Ruolo delle udienze - Duruşma listesi,,,,Open Access,,,,,,,1894-01-04; 1899-03-30,SALT Research,İtalyanca - Italian,Defter - Register,"21,5-30,5 cm; Handwritten",271,,,45099,UMITS,,03.03.2009,,03.03.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13256
123456789/12842,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV016,Registro generale delle sentenze - Karar Kayıt defteri,,,,Open Access,,,,156 Ordini-156 Kayıt,,,1922-04-08; 1922-12-20,SALT Research,İtalyanca - Italian,Defter - Register,"22-34,5 cm; Handwritten",39,,,45135,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12842
123456789/12872,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV013,Registro dei processi verbali -  Zabıt tutanakları defteri,,,,Open Access,Contiene l'elenco alfabetico dei nomi - Alfabetik isim listesi içerir.,,,Con l'indice - İndeks ile / Le date degli ordini di 1920 hanno la data / 1919-1920 tarihli kayıtlar 1919 tarihi ile yazılmışlar.,,,1919-06-06; 1920-03-24,SALT Research,İtalyanca - Italian,Defter - Register,21-31 cm; Handwritten,37,,,45132,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/12872
123456789/13081,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV001,Registro delle omande concernanti la giurisdizione civile contenziosa e volontaria - Özel hukuk kararları kapsamında ihtilaflı ve ihtiyari özel hukuk davalarına ilişkin cevap defteri.,,,,Open Access,,,,Con l'indice-İndeks ile.,,,1861; 1861,SALT Research,İtalyanca - Italian,Defter - Register,"24,4-33 cm; Handwritten",219,,,45120,UMITS,,14.04.2009,,14.04.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13081
123456789/13082,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV003,Registro dei riporti del terzo trimestre di 1864 - 1864 yılının üçüncü çeyreğine ait rapor defteri.,,,,Open Access,,,,,,,1864-07-01; 1864-09-28,SALT Research,İtalyanca - Italian,Defter - Register,27-37 cm; Handwritten,52,,,45122,UMITS,,14.04.2009,,14.04.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13082
123456789/13083,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV006,Registro dei depositi guidiziari a carico dei depositi giudiziari - Adli teminat bedeline gerekçe gösterilen masraflara ilişkin defter,,,,Open Access,,,,,,,1896-02-26; 1899-10-10,SALT Research,İtalyanca - Italian,Defter - Register,17-21 cm; Handwritten,67,,,45125,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13083
123456789/13084,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV011,"Registro delle notificazioni, dei Tribunali di Pera, Stambul e Scutari - Pera, İstanbul ve Üsküdar Mahkemeleri'nin celp ve tebligat defterleri",,,,Open Access,,,,,,,1910-02-28; 1911-04-01,SALT Research,İtalyanca - Italian,Defter - Register,17-22 cm; Handwritten,120,,,45130,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13084
123456789/13110,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV010,Registro degli atti trasmetti dal tribunale consolare - konsolosluk Mahkemesi'nden gönderilen akitlerin kayıt defteri.,,,,Open Access,,,,,,,1908-12-09; 1910-02-08,SALT Research,İtalyanca - Italian,Defter - Register,17-22 cm; Handwritten,119,,,45129,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13110
123456789/13111,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV018,Registro generale delle sentenze - Karar Kayıt defteri,,,,Open Access,,,,,,,1922-04-13; 1922-11-06,SALT Research,İtalyanca - Italian,Defter - Register,31-45 cm; Handwritten,21,,,45137,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13111
123456789/13145,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV002,Registro della corrispondenza 1863 contenete le informazioni offerte dagli avvocati al giudice consolare - Avukatların hakime sundukları bilgileri içerir 1863 tarihli yazışma defteri.,,,,Open Access,Alcuni ordini contengono la traduzione di interrogatorio del nominato - Bazı kayıtlar kişilerin sorgusunun tercümesini içerir.,,,,,,1863-02-23; 1864-11-19,SALT Research,İtalyanca - Italian,Defter - Register,21-33 cm; Handwritten,109,,,45121,UMITS,,14.04.2009,,14.04.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13145
123456789/13146,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV004,Registro dei certificati in materie penali e civili rilasciati dal cancelliere del tribunale a cominciare dal 1 Gennaio 1875 - 1 Ocak 1875'ten itibaren konsolosluk Mahkemesi'nden çıkan özel ve ceza hukukuna ilişkin sertifikaların Kayıt defteri,,,,Open Access,,,,473 Ordini-473 Kayıt.,,,1875-01-01; 1899-04-13,SALT Research,İtalyanca - Italian,Defter - Register,"20-27,5 cm; Handwritten",136,,,45123,UMITS,,14.04.2009,,14.04.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13146
123456789/13147,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV005,Registro di Pratiche ed evasione - Evrak Kayıt defteri,,,,Open Access,Solo una parte del registro - Defterin yalnız bir kısmı,,,2422 Ordini- 2422 Kayıt,,,1882-02-16; 1887-11-03,SALT Research,İtalyanca - Italian,Defter - Register,24-33 cm; Handwritten,809,,,45124,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13147
123456789/13148,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV009,Registro del comparso e interrogato - Yüzleşme ve sorgu defteri,,,,Open Access,Contiene gli documenti in lingua Ottomana  - Osmanlıca belgeler içerir.,,,,,,1901-02-06; 1901-10-08,SALT Research,İtalyanca - Italian; Osmanlı Türkçesi - Ottoman Turkish,Defter - Register,"14,5-34,5 cm; Handwritten",114,,,45128,Hilal Aktaş,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13148
123456789/13149,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV014,Registro di conciliazioni del tribunale consolare di Costantinopoli,,,,Open Access,,,,737 Ordini-737 Kayıt,,,1920-04-07; 1920-12-31,SALT Research,İtalyanca - Italian,Defter - Register,"20-29,5 cm; Handwritten",184,,,45133,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13149
123456789/13207,"City, Society, and Economy / Institutions / Italian Embassy / Tribunal / Miscellaneous",ITTDIV007,Indice dei nomi di persone e le loro richieste dal consolato e dal tribunale negli anni 1899/1905/1906/1907 - 1899/2905/1906/1907 yıllarında mahkeme ve konsolosluğa başvuranların isimlerinin alfabetik listesini içeren indeks.,,,,Open Access,,,,Mancano gli anni 1900-1904 - Defterde 1900-1904 arası yıllar mevcut değil.,,,1899; 1907,SALT Research,İtalyanca - Italian,Defter - Register,16-44 cm; Handwritten,319,,,45126,HILALA,,29.06.2009,,29.06.2009,,,,Salt Research,,Purchase,https://archives.saltresearch.org/handle/123456789/13207
