handle,dc.collection,dc.identifier,dc.title,dc.creator,dc.publisher,dc.contributor,dc.rights,dc.description,dc.coverage.spatial,dc.coverage.temporal,dc.note,dc.note.internal,dc.relation.other,dc.date.issued,dc.location,dc.language,dc.type,dc.format,dc.format.numberofscans,dc.format.numberofpages,dc.identifier.projectcode,dc.identifier.other,dc.catalogedby,dc.validatedby,dc.date.cataloged,dc.date.validated,dc.date.acquisition,dc.subject,dc.source,dc.relation,dc.rights.holder,dc.provenance,dcterms.accrualMethod,URL
123456789/108303,"City, Society, and Economy / Institutions / Seyr-i Sefain Administration",AINSS001,Türkiye Seyr-i Sefain İdaresi sicil kayıt defteri,,,,Open Access,,,,"İdareye aid levazım ambarı kayıtları, kömür ambarı kayıtları, iaşe, bilanço, zimmetler, banka işlemlerine aid kayıtlar, kanun ve yönetmelikler, yük yolcu fiat tarifeleri, vapurların istatistik malumatlarını içeren düzensiz bir defter.",,,1926-02-15; 1927-05-24,SALT Research,Osmanlı Türkçesi - Ottoman Turkish,Belge - Document,"19,5-27 cm",502,,,44081,UMITS,,07.02.2008,,07.02.2008,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/108303
123456789/114918,"City, Society, and Economy / Institutions / Seyr-i Sefain Administration",AINSSHAL001,Seyr-i Sefain Yolcu Salonu fotoğraf albümü - Photo album of Seyr-i Sefain Passenger Lounge,,,,Open Access,"AINSSHAL00107: Tophane-i Amire, Tophane Kasrı, İmalat-ı Harbiye Usta Mektebi, Ebul Fadıl Mehmet Efendi Camii. AINSSHAL00108: Tophane Saat Kulesi (Nusretiye Saat Kulesi). AINSSHAL00109: Kılıç Ali Paşa Camii, Tophane Çeşmesi - AINSSHAL00107: Tophane-i Amire,Tophane Pavilion, İmalat-ı Harbiye Usta Mektebi, Ebul Fadıl Mehmet Efendi Mosque. AINSSHAL00108: Tophane Clock Tower (Nusretiye Clock Tower). AINSSHAL00109: Kılıç Ali Paşa Mosque, Tophane Fountain.",,,,,,,SALT Research,Fransızca - French,Albüm - Album,"32-21,5 cm; Baskı; siyah beyaz fotoğraf - Print; black&white photo",10,,,111213,Sinem Gülmez,,2014-00-00,,2014-06-01,Seyrisefain; Seyri Sefain; Seyr-i Sefain İdaresi; Denizcilik İşletmeleri; Deniz Yolları; Seyr-i Sefain Yolcu Salonu; Tophane; Tophane Limanı; Atatürk Büstü; İstanbul - Maritime Lines; Tourist Lounge; Passenger Lounge; Tophane Port; The Bust of Atatürk; Istanbul,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/114918
123456789/123804,"City, Society, and Economy / Institutions / Seyr-i Sefain Administration",AINSSH001,Kenan Yontuç imzalı Atatürk büstü fotoğrafı - Photo of Atatürk signed by Kenan Yontuç,,,,Open Access,,,,,,,,SALT Research,Türkçe - Turkish,Fotoğraf - Photograph,9-14 cm; El yazısı; baskı; siyah beyaz fotoğraf - Handwriting; print; black&white photo,1,1,,111225,Sinem Gülmez,,2014-00-00,,2014-07-14,,,,,,Purchase,https://archives.saltresearch.org/handle/123456789/123804
